"","Victims_of_intentional_homicide","Persons_convicted_for_intentional_homicide","Corruption","Smuggling_of_migrants","Burglary","Theft","Theft_of_a_motorized_vehicle","Fraud","Money_laundering","Serious_assault","Kidnapping","Rape","Sexual_assault","Sexual_Exploitation"
"NOR",0.000199896823132754,0.000146591003630681,0.000274322557907491,0.00019403302876383,0.0954315158622341,0.664476143192887,0.0268836106749338,0.154209422308577,0.00125786928991725,0.0129266141921286,0.000416148329071671,0.0150810498908167,0.0168005839733101,0.0117021988726878
"POL",0.000710595585312173,0.000449396359670951,0.0136188142168803,0.00238513012806333,0.17807619795666,0.306444864625916,0.0231238492649543,0.442409955305574,0.00267408319352482,0.0130079572977907,0.000917784399812438,0.00149545884756364,0.000907414012589452,0.0137784988056881
"PRT",0.000499529645692746,0.000472888064589117,0.00118216124755361,0.00116189562616696,0.114439963970317,0.495595771010111,0.054690156915394,0.301741592032705,0.000331005149315004,0.00500560848249838,0.00168880178221946,0.00350595249988756,0.016921793857839,0.00276287971571101
"ROU",0.00226184105966301,0.005247104968368,0.0351310835616339,0.000553526602495876,0.227204814627704,0.529358916803036,0.0467729979109022,0.109535772355192,0.00288369504203501,0.00202662159300915,0.00362470646150533,0.0200340918709801,0.00401753179230881,0.0113472953511656
"SRB",0.00204917863536194,0.00116304733358379,0.0255993934024592,0.00476570599455751,0.247165658985491,0.457664028133081,0.0150783812614688,0.0869806449279887,0.00473966388529767,0.138049221186608,0.000286463201858658,0.00281254780006679,0.00979183308171405,0.00385423217046188
"SVK",0.00219110991139707,0.00224327919500172,0.0069315692784685,0.0111815825586973,0.178146389996257,0.56752855909913,0.0394644090306963,0.107363430721969,0.00637501992034332,0.0655210380701939,0.00232738822488725,0.00541370739267249,0.00445239486500167,0.000860121735284408
"SVN",0.00039748439754271,0.000428060120430603,0.0190071965119178,0.00991547169562324,0.171003750319898,0.657411027991662,0.00921376139100983,0.111693975008232,0.00283735036213219,0.00347804237938781,0.0000305091436788417,0.00665099332198733,0.00216614920119767,0.00576622815530088
"ESP",0.000401963965059995,0.000242415191236174,0.00128362988792203,0.000560966162260494,0.150551625973053,0.225987270781868,0.0299053424373152,0.545053878194404,0.000511213065829408,0.025189992723059,0.000120651258845387,0.00266552214129547,0.0158898951726786,0.00163563304517197
"SWE",0.000166972450838963,0.000318111307201812,0.0278893478554084,0.000198902993940566,0.0992039414454526,0.427538408083284,0.0242847676990318,0.355921882610336,0.0214042516788715,0.00664107046674963,0.0000144930794783232,0.0129201088653917,0.0161769665215696,0.00732077494244579
"CHE",0.000183349355357333,0.0000829437559949815,0.00025030339270173,0.000180042791241591,0.156909488210842,0.610257236557173,0.0832500301550763,0.113128350925996,0.0164717197548107,0.00335055243213014,0.0000175651503650343,0.00380724634162101,0.0033022482686263,0.00880892290806437
"GBR",0.000579137421630843,0.000215904485552819,0.00108170431010103,0.0000596802377986746,0.071986784826442,0.525658439524967,0.0475994230062854,0.125917841725481,0.00407808265129389,0.143956769481625,0.00338374261899123,0.0311268949426758,0.0435077633538201,0.000847831413335249
